3237	Provide a way to save the current layout
7491	Fix open hyperlink bindings with mouse reporting
7527	## Unbounded PDU memory allocation causes OOM crashes and stack overflow
1333	Support for Devanagari / displaying text in Bangla
7520	Quit Opencode will close WezTerm tab
6591	The name of the Command Palette Item is not right
7585	docs: typo on 8-bit escape sequence recognition
7584	FIX: infinite feedback loop on slow SSHMUX connections when pane-switching, which hangs wezterm
7583	FIX: propagate --attach flag when delegating to existing GUI
7582	Flag --attach ignored when delegating to existing GUI instance
7524	detect_password_input doesn't display lock icon
6485	Border problems with the rounded corners on macOS.
7453	fix macOS dictation support with new color options to customize the preview text
7580	chore: use `LazyLock` instead of `lazy_static`
4922	posiible bug: mouse scroll in alternate mode not working under multiplexing
1396	portable-pty example not working properly on Windows
5164	format-tab-title with use_fancy_tab_bar results in invalid hover detection
7573	toast_notification has no reliable  timeout support
7572	Initialinze a pane with launch menu items (profiles).
3537	Allow the tab bar to be rendered on the side
7570	Wrongly rendering ghost character when two or more wide characters are followed by a Unicode Variation Selector
5468	option key not working on mac
4536	CTRL-click does not work for opening links when bypass_mouse_reporting_modifiers is also CTRL
7438	After closing a workspace Wezterm doesn't redraw until a key is pressed
7566	fancy tab bar: fix layout issues with macOS native traffic light buttons
7551	[Bug] Fancy tab bar: left_status obscured by macOS traffic light buttons and has excessive gap before tabs
6522	Can't use 'Next' and 'Prev' with ActivatePaneDirection
5983	add support for: `cmd+shift+left arrow|right arrow` -- to select text to left/right of cursor to end of line
6454	Allow automatic light/dark mode detection from applications running within the terminal (CSI 2031)
7568	Option to be able to clip last few pixels of last line on the terminal so content can fully fill the screen
7540	SSHMUX get confused and rapidly redraws and moves panes eventually leading to crash
4488	Plugin unsupported URL protocol error
7510	termwindow: emit pane-focus-changed window event
7537	cpu hog
6435	Wezterm occasionally interprets single clicks as double clicks (or triple lcicks
7550	Add support for floating pane
4683	Wezterm does not preserve tab characters
7563	build(deps): bump time from 0.3.44 to 0.3.47
7561	Suppport for fixedbitset 0.5
7560	Wezterm doesn't enter fullscreen when opened from another fullscreen app on macOS
7558	kitty: improve animated image handling
7534	Windows: Support being set as the default terminal app
7559	build(deps): bump git2 from 0.20.2 to 0.20.4
7557	fix(mux): ensure runtime directory exists before creating ssh agent symlink
7556	fix(gui): handle IME committed text in prompt overlays
7553	Toast notifications on KDE plasma do not expire
5180	Allow Speech Recognition (dictate) on macOS
7063	Ctrl-shift-u uinput on linux/X, again (sorry!)
7555	fix: set DBus notification priority to normal
7554	build(deps): bump bytes from 1.10.1 to 1.11.1
4962	Wezterm does not have window decorations/titlebar on Mutter/Wayland
7552	[termwiz] How to have a panic handler (that does not eat the message)
6756	WezTerm Shell Context Menu for Windows 11
6257	Local file links as hyperlinks
4145	win32_system_backdrop Acrylic not working
6265	Cannot get Wezterm Terminal Transparent/Acrylic BG on Windows
7549	Release new `termwiz`
4378	One scroll bar for each pane
7494	fix(macos): improve IME preedit handling
7546	Variable font (Berkeley Mono Variable) displaying as italic/oblique
7548	Treat SCTKWindowState::TILED as a maximized state
7449	Add config option for debounce when searching
7095	adopt sctk-adwaita as our frame on wayland
7539	Change display order of `key` and `mode` in `show-keys --lua`
7544	Support directly specifying initial user vars as part of SpawnCommand
7097	kitty keyboard state not propagated over mux connection
7542	fix kitty keyboard protocol not work in mux mode
7538	input method selection menu is hidden after full screen
6052	resizing window does not resize panes proportionally
7535	Windows: support profiles/launchables installed for Windows terminal
6617	WebGpu and Wayland Crash (Nvidia?) - Protocol Error 7 on object @0, dmabufs
7532	Allow retrieving user variables in mux-is-process-stateful handlers
7000	Wezterm is haunted
7531	Claude text entry freezes / no scrollbar
7017	Failure to update or redraw display on WebGpu with nvidia 575.57.08
7529	Fix RefCell borrow conflict when toggling IME on Windows
2987	Bad prompt on resize behavior
7157	WezTerm crashes randomly when using CorvusSKK (Japanese IME) on Windows10
7528	front_end, OpenGL and Software doesn't render anything after upgrading to AMD driver, 26.1.1
4484	Pane focus changing constantly despite no input
7526	fix(wezterm-gui): max tab title length
986	Kitty Image Protocol Support
7523	emoji don't render correctly (size issues, presentation flickering, width encroaching)
7522	macOS install docs still recommend `--no-quarantine` which is deprecated in Homebrew
7521	wezterm.lua doesn,t excist
7519	Windows sleep/resume causes wezterm-gui.exe crash in d3d11.dll (APPCRASH)
7518	termwiz has an doc issue with MouseEvent and PixelMouseEvent
